idx,energy,volume,surface_area,natom,a,b,c,alpha,beta,gamma,conv
bulk-pre,-1070.657958984375,1501.9662456256196,131.15155629195831,128,11.452141995799664,11.452141995799664,11.452141995799664,90.0,90.0,90.0,-
bulk-post,-1070.814208984375,1474.632155464353,129.55548360811096,128,11.382244239771369,11.38224421115684,11.382244227692661,90.0,90.0,90.0,True
vac-pre,-1061.0457763671875,1474.632155464353,129.55548360811096,127,11.382244239771369,11.38224421115684,11.382244227692661,90.0,90.0,90.0,-
vac-post,-1061.156494140625,1470.2363095880055,129.2978875159934,127,11.37092290285274,11.370922889957782,11.370922896216266,90.00000000016297,90.00000003378578,89.99999998863576,True
111-pre,-2615.712646484375,7990.184993199493,224.39668057252965,320,16.096924174127707,13.940345257586436,35.607411717558406,90.0,90.0,90.0,-
111-post,-2619.810546875,7990.184993199493,224.39668057252965,320,16.096924174127707,13.940345257586436,35.607411717558406,90.0,90.0,90.0,True
110-pre,-2662.746337890625,5334.442606338922,91.60956122950078,320,11.382244239771367,8.048462087063854,58.230194913553305,90.0,90.0,90.0,-
110-post,-2662.796630859375,5334.442606338922,91.60956122950078,320,11.382244239771367,8.048462087063854,58.230194913553305,90.0,90.0,90.0,True
100-pre,-2647.0859375,6093.361060425085,129.55548393380846,320,11.382244239771367,11.382244239771367,47.032830069457,90.0,90.0,90.0,-
100-post,-2647.199951171875,6093.361060425085,129.55548393380846,320,11.382244239771367,11.382244239771367,47.032830069457,90.0,90.0,90.0,True
