A,B,C ,Binding_energy
Cu,Mn,Si,-0.1565
Cu,Ni,Si,-0.2312
Mn,Cu,Mn,-0.1106
Mn,Cu,Ni,-0.1572
Mn,Mn,Cu,-0.0269
Mn,Mn,Mn,0.0577
Mn,Mn,Si,-0.0837
Mn,Mn,Vac,-0.0452
Mn,Ni,Cu,0.0694
Mn,Ni,Mn,0.2107
Mn,Ni,Ni,0.0878
Mn,Ni,Si,-0.0752
Mn,Ni,Vac,-0.1446
Mn,Si,Cu,-0.1243
Mn,Si,Mn,-0.1412
Mn,Si,Ni,-0.1630
Mn,Si,Vac,-0.4238
Mn,Vac,Si,-0.2957
Mn,Vac,Mn,-0.2224
Mn,Vac,Ni,-0.2373
Ni,Cu,Ni,-0.2360
Ni,Mn,Cu,-0.1042
Ni,Mn,Mn,0.1731
Ni,Mn,Ni,0.0317
Ni,Mn,Si,-0.0165
Ni,Mn,Vac,-0.3004
Ni,Ni,Cu,-0.1269
Ni,Ni,Ni,0.0191
Ni,Ni,Si,-0.0848
Ni,Ni,Vac,-0.2291
Ni,Si,Cu,-0.2258
Ni,Si,Ni,-0.2761
Ni,Si,Vac,-0.5356
Ni,Vac,Si,-0.2786
Ni,Vac,Ni,-0.2190
Si,Cu,Si,-0.1718
Si,Mn,Si,-0.0952
Si,Ni,Si,-0.1709
Si,Si,Si,0.5755
Si,Vac,Si,-0.3597
Si,Cu,Vac,-0.5051
Vac,Mn,Si,-0.3391
Vac,Ni,Si,-0.3350
Vac,Si,Si,-0.1361
