label,7net-0,omni,ompa,ompas,ompas_wso
a1,0.2857666015625,0.6417236328125,0.7257080078125,0.6942138671875,0.687744140625
a2,-0.1629638671875,0.0697021484375,0.176513671875,0.1273193359375,0.124755859375
b1,0.307861328125,0.96923828125,1.1234130859375,1.056884765625,1.0587158203125
b2,0.00537109375,0.19580078125,0.3089599609375,0.2403564453125,0.2352294921875
b3,0.3031005859375,0.6251220703125,0.71533203125,0.675048828125,0.6654052734375
c1,0.3123779296875,0.74609375,0.846923828125,0.8067626953125,0.798583984375
c2,-0.0390625,0.3389892578125,0.413818359375,0.3746337890625,0.36572265625
d,-0.907470703125,-1.5789794921875,-1.6153564453125,-1.61572265625,-1.618896484375
e,0.0101318359375,0.06787109375,0.1102294921875,0.104736328125,0.10400390625
f,0.0650634765625,0.0765380859375,0.092529296875,0.07373046875,0.0728759765625
g,0.026611328125,0.14404296875,0.163818359375,0.14111328125,0.1458740234375
h,-0.5361328125,-0.568603515625,-0.593994140625,-0.580810546875,-0.58740234375
i,-0.17626953125,0.00048828125,-0.0048828125,0.0078125,0.006103515625
j,0.3560791015625,0.9921875,1.3194580078125,1.1644287109375,1.1580810546875
k,0.7535400390625,1.2996826171875,1.4462890625,1.479736328125,1.46728515625
l,0.5765380859375,1.0528564453125,1.15869140625,1.1456298828125,1.1343994140625
m,0.57666015625,1.2996826171875,1.4462890625,1.47998046875,1.46728515625
